id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
291015,维佳小区,黄山,徽州,岩寺,,多层,环城西路6号,118.3253087,29.83120841,,,,0,公寓住宅,民用,7.2,12,0.0,4318.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291016,天都小区,黄山,徽州,岩寺,,多层,永佳大道477号,118.3373688,29.81725806,,,,0,公寓住宅,民用,7.0,12,0.0,9976.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291013,徽州壹号,黄山,徽州,岩寺,,高层,永兴一路40号,118.3104323,29.83872179,,,,0,公寓住宅,民用,6.6,12,0.0,6000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291012,培新小区,黄山,徽州,岩寺,,多层,永佳大道412号,118.3406551,29.82247742,,,,0,公寓住宅,民用,7.0,12,0.0,4500.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291018,维佳花园,黄山,徽州,岩寺,,多层,龙井大道,118.32715,29.82718956,,,,0,公寓住宅,民用,7.3,12,0.0,6376.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291019,馨苑,黄山,徽州,岩寺,,多层,富饶路152号,118.3362556,29.82934384,,,,0,公寓住宅,民用,7.4,12,0.0,5939.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291011,建桥汇丰雅苑,黄山,徽州,岩寺,,多层|小高层,"滨河北路,近永兴一路",118.3272386,29.8240059,,,,0,公寓住宅,民用,6.9,12,0.0,8192.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291010,永佳大道790号小区,黄山,徽州,岩寺,,多层,永佳大道790号,118.3368898,29.81392828,,,,0,公寓住宅,民用,6.9,12,0.0,5641.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290959,纳尼亚小镇,黄山,徽州,岩寺,,小高层,永佳大道889号,118.3434302,29.79970888,,,,0,公寓住宅,民用,6.7,12,-0.25,9891.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290352,恒大悦府,黄山,屯溪,经济开发区,,小高层,梅林大道辅路,118.270513,29.81011236,,,,0,公寓住宅,民用,6.6,12,-0.06,6630.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290975,中央丽园,黄山,徽州,岩寺,,多层,迎宾大道82号,118.3216142,29.83409702,,,,0,公寓住宅,民用,7.3,12,0.0,6232.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290960,汇丰广场,黄山,徽州,岩寺,,小高层,黄山路269号,118.3309519,29.8260341,,,,0,公寓住宅,民用,7.4,12,0.26,8779.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291037,富香国际花园(永佳大道483号),黄山,徽州,丰乐湖,,小高层,永佳大道483号,118.3314733,29.82962699,,,,0,公寓住宅,民用,7.2,12,0.0,5311.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291022,绿地半山名邸,黄山,徽州,潜口,,小高层|高层,永佳大道,118.3425255,29.82385678,,,,0,公寓住宅,民用,7.0,12,0.61,5641.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291034,廉租房住宅小区,黄山,徽州,呈坎,,多层,永佳大道406号,118.3411977,29.82255141,,,,0,公寓住宅,民用,6.8,12,,,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291030,龙华佳苑,黄山,徽州,呈坎,,多层,永佳大道61号,118.3588924,29.84013971,,,,0,公寓住宅,民用,6.9,12,0.0,2500.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291029,万亨金三角小区,黄山,徽州,呈坎,,多层,南山路,118.3337158,29.81978389,,,,0,公寓住宅,民用,6.7,12,0.0,3809.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291028,龙丰小区,黄山,徽州,呈坎,,多层,揽胜路3号,118.3285193,29.82813313,,,,0,公寓住宅,民用,7.1,12,0.0,4747.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291026,粤华小区,黄山,徽州,潜口,,多层,永佳大道280号,118.3447476,29.82630972,,,,0,公寓住宅,民用,7.0,12,0.0,3857.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291025,咏华花园,黄山,徽州,潜口,,多层,永佳大道273号,118.3408745,29.82435132,,,,0,公寓住宅,民用,7.1,12,0.0,5849.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291009,徽州商城步行街小区,黄山,徽州,岩寺,,多层,永佳大道522号,118.3394177,29.82010088,,,,0,公寓住宅,民用,7.0,12,0.0,6521.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290373,永佳新城壹号,黄山,屯溪,经济开发区,,小高层,梅林大道91号,118.261387,29.80007545,,,,0,公寓住宅,民用,6.6,12,0.0,6554.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291007,富山新村,黄山,徽州,岩寺,,低层,"046乡道,近富民路",118.299417,29.83540998,,,,0,公寓住宅,民用,6.5,12,0.0,4740.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290986,丰乐怡庭,黄山,徽州,岩寺,,小高层,滨河南路38号,118.3365289,29.82480231,,,,0,公寓住宅,民用,7.4,12,0.0,5864.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290966,永华御园,黄山,徽州,岩寺,,多层,永佳大道288号,118.3434408,29.82503838,,,,0,公寓住宅,民用,7.3,12,0.0,5613.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290967,鑫基尚紫台,黄山,徽州,岩寺,,多层,迎宾大道,118.3208641,29.83596211,,,,0,公寓住宅,民用,7.1,12,0.0,6874.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290985,瑞丰阳光嘉园,黄山,徽州,岩寺,,多层,永佳大道268号,118.3470131,29.82836341,,,,0,公寓住宅,民用,6.9,12,0.0,3529.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290968,永吉凤凰城,黄山,徽州,岩寺,,多层,迎宾大道,118.3186182,29.83512884,,,,0,公寓住宅,民用,7.0,12,-0.59,6414.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290969,玉虹花园,黄山,徽州,岩寺,,小高层,南山路70号,118.3368928,29.81854393,,,,0,公寓住宅,民用,7.4,12,0.87,5689.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290984,碧桂园翡翠湾,黄山,徽州,岩寺,,多层,文峰路,118.3399622,29.83114529,,,,0,公寓住宅,民用,7.5,12,0.0,7915.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290983,丰乐人家,黄山,徽州,岩寺,,多层,永兴一路2号,118.3267732,29.82554787,,,,0,公寓住宅,民用,7.1,12,0.0,6525.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290970,富春国际花园,黄山,徽州,岩寺,,小高层,永佳大道483号,118.3349948,29.81699651,,,,0,公寓住宅,民用,7.1,12,0.0,5666.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290972,永佳名邸,黄山,徽州,岩寺,,小高层,惠兴路2号,118.3393767,29.81882204,,,,0,公寓住宅,民用,7.3,12,0.0,6542.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290982,区政府宿舍,黄山,徽州,岩寺,,多层,文峰路70号,118.3306344,29.83043293,,,,0,公寓住宅,民用,7.2,12,0.0,5714.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290973,文峰世纪城,黄山,徽州,岩寺,,小高层,滨河南路6号,118.3400041,29.82777152,,,,0,公寓住宅,民用,7.5,12,0.0,5445.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290981,黄发小区,黄山,徽州,岩寺,,多层,黄山路1号,118.3376619,29.82155522,,,,0,公寓住宅,民用,7.1,12,0.0,3875.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290980,三华园(徽州),黄山,徽州,岩寺,,多层,黄山路21号,118.3367458,29.820762,,,,0,公寓住宅,民用,7.1,12,0.0,6707.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290979,绿地半山名邸,黄山,徽州,岩寺,,小高层|高层,永佳大道,118.3425255,29.82385678,,,,0,公寓住宅,民用,7.0,12,0.61,5641.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290377,万福嘉苑(北苑),黄山,屯溪,经济开发区,,多层|小高层,万安路1号,118.2587906,29.80729039,,,,0,公寓住宅,民用,6.3,12,0.0,5595.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290976,龙井西苑,黄山,徽州,岩寺,,小高层,揽胜路38号,118.3277502,29.82722827,,,,0,公寓住宅,民用,7.4,12,0.0,7636.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290965,玫瑰花城,黄山,徽州,岩寺,,小高层,文峰路,118.3325231,29.83283476,,,,0,公寓住宅,民用,7.3,12,0.59,6987.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290987,富宇山庄,黄山,徽州,岩寺,,多层|小高层,永佳大道428号,118.3401085,29.82247846,,,,0,公寓住宅,民用,7.0,12,0.0,6500.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290964,永佳佳苑,黄山,徽州,岩寺,,小高层,永佳大道520号,118.339834,29.82112378,,,,0,公寓住宅,民用,7.1,12,0.0,5853.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291006,财富广场(徽州),黄山,徽州,岩寺,,多层,黄山路78号,118.3367334,29.82351922,,,,0,公寓住宅,民用,7.1,12,0.0,5918.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291005,公安局宿舍(徽州),黄山,徽州,岩寺,,多层,永佳大道410号,118.3414644,29.82181973,,,,0,公寓住宅,民用,7.0,12,0.0,4660.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291004,凤山巷13号小区,黄山,徽州,岩寺,,多层,凤山巷13号,118.3438178,29.82769915,,,,0,公寓住宅,民用,7.0,12,0.0,5000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291003,徽州新时代商贸广场,黄山,徽州,岩寺,,低层,永佳大道,118.3460991,29.82972613,,,,0,商住楼,商用,7.1,12,0.0,4000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291002,杏坛小区,黄山,徽州,岩寺,,多层,中街65,118.3332502,29.82273999,,,,0,公寓住宅,民用,7.3,12,0.0,5200.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291001,文峰路50-52号院,黄山,徽州,岩寺,,多层,文峰路50-52号,118.335488,29.83026958,,,,0,公寓住宅,民用,7.3,12,0.0,6000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291000,富山雅苑,黄山,徽州,岩寺,,高层,046乡道,118.3068072,29.83579097,,,,0,公寓住宅,民用,6.5,12,0.0,4500.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290999,农机大院,黄山,徽州,岩寺,,多层,迎宾大道95号(旧:黄山路330号),118.3261489,29.83229538,,,,0,公寓住宅,民用,7.0,12,0.0,6000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290998,黄山路291号楼,黄山,徽州,岩寺,,低层,黄山路291号,118.3288438,29.8294167,,,,0,公寓住宅,民用,7.1,12,0.0,6000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
291008,税务小区,黄山,徽州,岩寺,,多层,永佳大道390号,118.3408616,29.82332795,,,,0,公寓住宅,民用,7.0,12,0.0,5100.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290997,龙井三路23号自建房,黄山,徽州,岩寺,,低层,龙井三路23号,118.3341146,29.82635639,,,,0,,暂无,,12,,,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290995,皖机二村,黄山,徽州,岩寺,,多层,黄山路271号,118.3301725,29.82764714,,,,0,公寓住宅,民用,7.2,12,0.0,7000.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290994,皖机四村,黄山,徽州,岩寺,,多层,黄山路186号?,118.3312069,29.82751841,,,,0,公寓住宅,民用,7.2,12,0.0,6900.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290993,黄山东路345号楼,黄山,徽州,岩寺,,多层,黄山东路345号,118.3271522,29.83099511,,,,0,公寓住宅,民用,7.1,12,0.0,4500.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290992,永佳大道457号-459号小区,黄山,徽州,岩寺,,低层,永佳大道457-459号,118.3374984,29.81882129,,,,0,公寓住宅,民用,7.0,12,0.0,5270.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290989,农行宿舍(岩寺),黄山,徽州,岩寺,,多层,永佳大道283号,118.3403969,29.82374236,,,,0,公寓住宅,民用,7.3,12,0.0,5156.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290988,徽州花苑(徽州),黄山,徽州,岩寺,,多层,龙井路132号,118.3345156,29.82789325,,,,0,公寓住宅,民用,7.2,12,0.0,5964.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290962,黄山公馆,黄山,徽州,岩寺,,小高层,永佳大道278号,118.3459286,29.82682984,,,,0,公寓住宅,民用,7.2,12,0.0,5937.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290996,酒厂小区,黄山,徽州,岩寺,,多层,永佳大道303号,118.3397872,29.82320833,,,,0,公寓住宅,民用,7.1,12,0.0,4600.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290393,山海天地,黄山,屯溪,经济开发区,,小高层|高层,"迎客松大道,近西递大道",118.2694426,29.81079257,,,,0,公寓住宅,民用,6.3,12,0.0,7610.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290974,继远首府,黄山,徽州,岩寺,,小高层,滨河北路,118.3247373,29.82361499,,,,0,公寓住宅,民用,7.1,12,0.0,6951.0,Anhui,Huangshan,Huizhou,Anhui-Huangshan
290790,法院宿舍(歙县),黄山,歙县,歙县城区,,多层,新安路20号,118.421046,29.87025022,,,,0,公寓住宅,民用,7.3,12,0.0,6200.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290792,七川新苑,黄山,歙县,歙县城区,,高层,行知大道,118.4003344,29.87108798,,,,0,公寓住宅,民用,6.7,12,0.0,4500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290793,富丰路115-14号楼,黄山,歙县,歙县城区,,低层,富丰路115-14号,118.4136135,29.86850634,,,,0,,暂无,,12,,,Anhui,Huangshan,Shexian,Anhui-Huangshan
290789,西街9号院,黄山,歙县,歙县城区,,多层,西街9号,118.4338775,29.86379104,,,,0,公寓住宅,民用,7.1,12,0.0,6300.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290794,城东路78-24号小区,黄山,歙县,歙县城区,,多层,城东路78-24号,118.4364183,29.86846186,,,,0,公寓住宅,民用,7.1,12,0.0,7600.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290791,科委宿舍(歙县),黄山,歙县,歙县城区,,多层,城东路46-10号,118.4375501,29.86747239,,,,0,公寓住宅,民用,7.1,12,0.0,7500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290800,百货公司宿舍(解放街),黄山,歙县,歙县城区,,多层,解放街92号,118.4316542,29.86847998,,,,0,公寓住宅,民用,7.2,12,0.0,6551.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290797,徽州路196-4号小区,黄山,歙县,歙县城区,,多层,徽州路196-4号,118.4326269,29.87474416,,,,0,公寓住宅,民用,7.3,12,0.0,6000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290799,郑村自建房,黄山,歙县,歙县城区,,低层,"经一路,近020乡道",118.3767016,29.85932053,,,,0,,暂无,6.0,12,0.0,3500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290801,古关村民委员会,黄山,歙县,歙县城区,,多层,清凉路44号,118.4120328,29.8649738,,,,0,公寓住宅,民用,7.1,12,0.0,7000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290788,旸村古溪,黄山,歙县,歙县城区,,多层,宾虹大道,118.3910886,29.86117607,,,,0,公寓住宅,民用,6.7,12,0.0,4000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290803,新汽车站建材市场,黄山,歙县,歙县城区,,多层,歙州大道,118.3928214,29.85474939,,,,0,公寓住宅,民用,6.9,12,0.0,6490.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290796,统建宿舍,黄山,歙县,歙县城区,,多层,斗山街7号,118.4330188,29.87075315,,,,0,公寓住宅,民用,7.1,12,0.0,5000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290787,黄山徽都国际大酒店小区,黄山,歙县,歙县城区,,多层,黄山中路173号,118.4234728,29.8712142,,,,0,公寓住宅,民用,7.3,12,0.0,6000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290775,黄潭源小区,黄山,歙县,歙县城区,,多层,紫阳路,118.3967106,29.8609487,,,,0,公寓住宅,民用,7.0,12,0.0,6330.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290785,百兴园(别墅),黄山,歙县,歙县城区,,低层,紫云路,118.4105564,29.86679816,,,,0,别墅,民用,7.1,12,0.0,13000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290769,大华国际农贸城,黄山,歙县,歙县城区,,低层|多层,"歙州大道,近练江大道",118.4709564,29.89193378,,,,0,公寓住宅,民用,6.6,12,0.0,3440.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290805,建安公司宿舍,黄山,歙县,歙县城区,,多层,人民路61号,118.4307548,29.87157096,,,,0,公寓住宅,民用,7.6,12,0.0,8422.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290770,中医院宿舍(歙县),黄山,歙县,歙县城区,,多层,新安路34号,118.4196651,29.87070222,,,,0,公寓住宅,民用,7.3,12,0.0,6000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290772,鸿欣花园,黄山,歙县,歙县城区,2011,多层,黄山东路,118.4390057,29.88106593,,,,0,公寓住宅,民用,7.3,12,0.0,7653.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290773,莲花塘小区,黄山,歙县,歙县城区,,多层,莲花塘路,118.4133831,29.86485891,,,,0,公寓住宅,民用,7.4,12,0.0,6500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290774,徽墨厂宿舍,黄山,歙县,歙县城区,,多层,大北街131-3A号(原人民路67-2号),118.4308256,29.87203566,,,,0,公寓住宅,民用,7.2,12,0.0,5333.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290776,县供电局宿舍,黄山,歙县,歙县城区,,多层,富丰路194号,118.4145565,29.87067603,,,,0,公寓住宅,民用,7.2,12,0.0,7000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290778,科宏大厦,黄山,歙县,歙县城区,,多层,歙州大道,118.3888906,29.85544185,,,,0,公寓住宅,民用,6.4,12,0.0,5000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290779,大北街145号小区,黄山,歙县,歙县城区,,多层,大北街145号,118.4302843,29.8727259,,,,0,公寓住宅,民用,6.0,12,0.0,5500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290781,徽州路405号小区,黄山,歙县,歙县城区,,多层,徽州路405号,118.4342272,29.87817845,,,,0,公寓住宅,民用,6.8,12,0.0,4500.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290782,红旗路12号楼,黄山,歙县,歙县城区,,小高层,红旗路12号,118.4334084,29.86388483,,,,0,商业,商用,,12,,,Anhui,Huangshan,Shexian,Anhui-Huangshan
290783,灵杰徽苑,黄山,歙县,歙县城区,,多层,新安路,118.4091805,29.87085882,,,,0,公寓住宅,民用,7.1,12,0.0,5000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290784,渔梁街107号楼,黄山,歙县,歙县城区,,低层,渔梁街107号(旧:渔梁路105-107号),118.4418145,29.85950655,,,,0,公寓住宅,民用,6.8,12,0.0,5000.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290777,徽州新天地,黄山,歙县,歙县城区,,小高层,黄山中路233号,118.4165632,29.86241936,,,,0,公寓住宅,民用,7.5,12,0.0,6620.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290806,德胜庄园,黄山,歙县,歙县城区,,低层,德胜路,118.4392776,29.87689281,,,,0,别墅,民用,6.9,12,0.0,6111.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290835,安华园,黄山,歙县,歙县城区,,小高层,新安路62号,118.4159257,29.87166722,,,,0,公寓住宅,民用,7.1,12,0.0,7279.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290808,顺通惠仁诚苑,黄山,歙县,歙县城区,,小高层|高层,歙州大道,118.4372254,29.88070326,,,,0,公寓住宅,民用,7.0,12,0.0,6311.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290830,徽州艺术品市场,黄山,歙县,歙县城区,,多层,"歙州大道,近百花路",118.4017425,29.85784763,,,,0,公寓住宅,民用,6.8,12,0.0,6451.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290832,桃源人家,黄山,歙县,歙县城区,,小高层,城东路40号,118.439035,29.86383078,,,,0,公寓住宅,民用,7.0,12,0.0,5698.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290833,尚上府邸,黄山,歙县,歙县城区,,小高层,紫霞路96号,118.4163754,29.87324424,,,,0,公寓住宅,民用,7.0,12,0.0,9201.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290834,天宁小区,黄山,歙县,歙县城区,,多层,斗山街46号,118.4332479,29.87232069,,,,0,公寓住宅,民用,7.2,12,0.0,5263.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290836,城东小区,黄山,歙县,歙县城区,,多层,德胜路,118.4443239,29.88125742,,,,0,公寓住宅,民用,6.9,12,0.0,8166.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290837,新安小区,黄山,歙县,歙县城区,,小高层,富丰路149号,118.4139733,29.87077704,,,,0,公寓住宅,民用,7.2,12,0.0,5800.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290838,安华鑫苑,黄山,歙县,歙县城区,,多层,徽州路179号,118.4304913,29.87133571,,,,0,公寓住宅,民用,7.3,12,0.0,7674.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290840,奔越小区,黄山,歙县,歙县城区,,多层,黄山中路16号,118.4333446,29.87956752,,,,0,公寓住宅,民用,7.0,12,0.0,6666.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290841,惠农花苑,黄山,歙县,歙县城区,,多层,富资路,118.4196088,29.87381,,,,0,公寓住宅,民用,7.1,12,0.0,5925.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290961,徽州人家,黄山,徽州,岩寺,,小高层,"北二环路,近富饶路",118.3365041,29.83719949,,,,0,公寓住宅,民用,7.0,12,-0.02,6567.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290971,徽州印象,黄山,徽州,岩寺,,多层,龙井三路59号,118.3351922,29.83618096,,,,0,公寓住宅,民用,7.3,12,2.52,8410.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290839,荷花塘小区,黄山,歙县,歙县城区,,小高层,徽城镇,118.4152406,29.87327488,,,,0,公寓住宅,民用,7.1,12,0.0,8055.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290807,百货公司宿舍(壕城路),黄山,歙县,歙县城区,,多层,壕城路48号,118.4354355,29.8683942,,,,0,公寓住宅,民用,7.1,12,0.0,5777.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290828,天灵小区,黄山,歙县,歙县城区,,多层,斗山街46号,118.4337288,29.87263173,,,,0,公寓住宅,民用,7.3,12,0.0,7754.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290810,歙县公安局宿舍楼,黄山,歙县,歙县城区,,多层,"歙州大道,近宝林路",118.4243332,29.87244724,,,,0,公寓住宅,民用,7.5,12,0.0,5886.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290811,工行宿舍(歙县),黄山,歙县,歙县城区,,多层,新南街3-1号,118.4328629,29.86673623,,,,0,公寓住宅,民用,7.1,12,0.0,5436.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290812,滨江绿都,黄山,歙县,歙县城区,,多层|小高层,"练江大道,近扬子路",118.4610394,29.89443837,,,,0,公寓住宅,民用,6.7,12,0.0,8080.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290813,农机公司宿舍,黄山,歙县,歙县城区,,多层,紫霞路13号,118.4183787,29.86481801,,,,0,公寓住宅,民用,7.2,12,0.0,6463.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290814,邮政宿舍楼,黄山,歙县,歙县城区,,多层,新安路41-1号,118.417173,29.87062275,,,,0,公寓住宅,民用,7.3,12,0.0,5701.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290815,城东路49号小区,黄山,歙县,歙县城区,,低层,城东路49号,118.4373884,29.86678387,,,,0,公寓住宅,民用,7.0,12,0.0,5084.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290827,徽州世家,黄山,歙县,歙县城区,,低层,花山路,118.346305,29.70941498,,,,0,别墅,民用,6.7,12,0.0,3636.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290816,棠樾山庄小区,黄山,歙县,歙县城区,,多层,人民路188号,118.4344356,29.87728996,,,,0,公寓住宅,民用,7.1,12,0.0,6857.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290818,中和街72-3号小区,黄山,歙县,歙县城区,,多层,中和街72-3号,118.4326288,29.86856289,,,,0,公寓住宅,民用,7.1,12,0.0,5483.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290819,练江社区安置楼,黄山,歙县,歙县城区,,多层,"城许大道,近行知大道",118.4128327,29.87918759,,,,0,公寓住宅,民用,7.0,12,0.0,6901.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290820,歙城中央商业广场,黄山,歙县,歙县城区,,高层,"黄山中路,近新安路",118.4237407,29.8714647,,,,0,商住楼,商用,7.3,12,0.0,7171.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290821,鸿运佳苑,黄山,歙县,歙县城区,,多层|小高层,"歙州大道,近X006县道",118.406144,29.85707289,,,,0,公寓住宅,民用,6.9,12,0.0,5931.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290823,金泰广场,黄山,歙县,歙县城区,,多层,紫阳路20号,118.407982,29.86321188,,,,0,公寓住宅,民用,7.0,12,0.0,7200.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290817,徽国府,黄山,歙县,歙县城区,,低层,披云路1号,118.4343045,29.86047006,,,,0,别墅,民用,7.1,12,0.0,11159.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290767,徽州花苑(歙县),黄山,歙县,歙县城区,,小高层,徽州路83号,118.428526,29.86907258,,,,0,公寓住宅,民用,7.6,12,0.0,7829.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290822,二轻局宿舍,黄山,歙县,歙县城区,,多层,十字街22号,118.4321228,29.86696873,,,,0,公寓住宅,民用,7.1,12,0.0,4888.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290708,黄山颐高广场,黄山,歙县,歙县城区,,多层,紫阳路,118.3954589,29.86596154,,,,0,公寓住宅,民用,6.7,12,-0.53,8218.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290709,和泰徽都豪庭,黄山,歙县,歙县城区,,小高层,黄山东路,118.4363902,29.88225676,,,,0,公寓住宅,民用,7.3,12,-0.16,8248.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290710,银丽小区,黄山,歙县,歙县城区,,多层,新安路71-13号,118.4101335,29.87105224,,,,0,公寓住宅,民用,7.4,12,0.0,7650.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
290711,财富广场(歙县),黄山,歙县,歙县城区,,小高层,玉河路,118.4512423,29.8986658,,,,0,公寓住宅,民用,7.0,12,0.0,5537.0,Anhui,Huangshan,Shexian,Anhui-Huangshan
