id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
787591,名都苑,孝感,安陆,城区,,多层,凤凰路28号,113.6790143,31.25616673,,,,0,公寓住宅,民用,7.2,12,0.0,3740.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802132,宏扬大厦,安陆,城区,安陆城区,,高层,太白大道,113.6987897,31.25252644,,,,0,公寓住宅,民用,7.1,12,0.0,3600.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802124,东方状元成,安陆,城区,安陆城区,,小高层,碧霞路,113.708939,31.26516413,,,,0,公寓住宅,民用,6.3,12,0.0,5000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802123,天桥康居,安陆,城区,安陆城区,,多层,碧山路36号,113.693266,31.26031012,,,,0,公寓住宅,民用,7.7,12,0.0,4476.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802122,德邻花园,安陆,城区,安陆城区,,小高层,汉丹路369号,113.6967329,31.27359156,,,,0,公寓住宅,民用,7.5,12,0.0,4780.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802121,潮尚阳光花园,安陆,城区,安陆城区,,多层,金秋大道81号,113.7058345,31.2770036,,,,0,公寓住宅,民用,7.1,12,0.0,4358.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802120,肖台社区,安陆,城区,安陆城区,,多层,解放大道1号,113.6944696,31.27452815,,,,0,公寓住宅,民用,7.0,12,0.0,2916.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802119,环城小区,安陆,城区,安陆城区,,多层,凤凰路53号,113.678016,31.25670241,,,,0,公寓住宅,民用,7.2,12,0.0,3259.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802118,文昌路24号小区,安陆,城区,安陆城区,,多层,文昌路24号,113.6884378,31.25812003,,,,0,公寓住宅,民用,7.5,12,0.0,3280.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802117,碧涢路244号小区,安陆,城区,安陆城区,,多层,碧涢路244号,113.6783004,31.2588223,,,,0,公寓住宅,民用,7.2,12,0.0,2741.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802116,紫金小区,安陆,城区,安陆城区,,小高层,上玉石街2号,113.6808934,31.26315088,,,,0,公寓住宅,民用,7.2,12,0.0,4385.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802115,梅岭家园住宅小区,安陆,城区,安陆城区,,多层,"梅园巷,近文昌路",113.6884314,31.25990372,,,,0,公寓住宅,民用,7.3,12,0.0,4618.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802125,府东佳苑,安陆,城区,安陆城区,,小高层,府东南路,113.6930604,31.25466222,,,,0,公寓住宅,民用,7.3,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802114,凤凰路19号小区,安陆,城区,安陆城区,,多层,凤凰路19号,113.6853565,31.2552986,,,,0,公寓住宅,民用,7.4,12,0.0,3200.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802112,乾丰步行街2号小区,安陆,城区,安陆城区,,低层,龙门路,113.6846287,31.26034404,,,,0,公寓住宅,民用,7.3,12,0.0,4210.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802111,天桥花园,安陆,城区,安陆城区,,多层,碧山路28号,113.6924434,31.26027653,,,,0,公寓住宅,民用,7.3,12,0.0,3829.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802110,城南佳苑,安陆,城区,安陆城区,,多层,太白大道121号,113.6883626,31.23713716,,,,0,公寓住宅,民用,6.4,12,0.0,4128.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802109,碧涢路208号小区,安陆,城区,安陆城区,,多层,碧涢路208号,113.6836274,31.25784729,,,,0,公寓住宅,民用,7.2,12,0.0,4210.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802108,大唐佳园,安陆,城区,安陆城区,,小高层,凤凰路24号,113.6782286,31.25639191,,,,0,公寓住宅,民用,7.2,12,0.0,3644.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802107,百安德安府,安陆,城区,安陆城区,,高层,发展一路,113.7108966,31.2514282,,,,0,公寓住宅,民用,6.5,12,0.0,4034.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802106,府河小区,安陆,城区,安陆城区,,多层,涢水路15号,113.6761271,31.25863618,,,,0,公寓住宅,民用,7.4,12,0.0,3215.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802105,报恩寺小区,安陆,城区,安陆城区,,多层,报恩寺西巷27号,113.6878569,31.23399153,,,,0,公寓住宅,民用,6.6,12,0.0,3272.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802103,中仁御景,安陆,城区,安陆城区,,高层,碧涢东路,113.7052472,31.25161537,,,,0,公寓住宅,民用,7.2,12,0.0,4226.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802113,双龙桥西二路14号小区,安陆,城区,安陆城区,,小高层,双龙桥西二路14号,113.6811389,31.26956318,,,,0,公寓住宅,民用,7.1,12,0.0,1750.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802102,五一社区,安陆,城区,安陆城区,,多层,凤凰路,113.6749727,31.25632262,,,,0,公寓住宅,民用,6.9,12,0.0,2579.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802126,红石村二组小区,安陆,城区,安陆城区,,多层,碧涢东路,113.7078555,31.25281051,,,,0,公寓住宅,民用,6.9,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802128,文昌小区,安陆,城区,安陆城区,,小高层,文昌路72号,113.686905,31.25521114,,,,0,公寓住宅,民用,7.3,12,0.0,3400.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802151,凤凰东区自建房,安陆,城区,安陆城区,,低层,汉丹东路,113.682619,31.25220732,,,,0,,暂无,7.3,12,0.0,2200.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802150,安陆政府大院小区,安陆,城区,安陆城区,,多层,碧涢路210号,113.6835456,31.2576667,,,,0,公寓住宅,民用,7.3,12,0.0,3800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802149,阳光家园,安陆,城区,安陆城区,,多层,文昌路96号,113.6874138,31.25336583,,,,0,公寓住宅,民用,7.2,12,0.0,4031.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802147,安陆市新河安置区,安陆,城区,安陆城区,,多层,"发展二路,近碧霞路",113.7146267,31.26151145,,,,0,公寓住宅,民用,6.3,12,0.0,2800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802145,安检小区,安陆,城区,安陆城区,,多层,解放大道117号,113.6809027,31.27278935,,,,0,公寓住宅,民用,7.0,12,0.0,2900.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802143,安陆市水产局宿舍楼,安陆,城区,安陆城区,,多层,德安南路129号,113.6814211,31.25788572,,,,0,公寓住宅,民用,7.2,12,0.0,3253.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802142,紫台壹号公馆,安陆,城区,安陆城区,,高层,凤凰金街106号,113.6949429,31.24941137,2.0,,,0,公寓住宅,民用,7.1,12,0.0,5618.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802127,教师之家宿舍楼,安陆,城区,安陆城区,,小高层,龙门路,113.6842964,31.25965187,,,,0,公寓住宅,民用,7.3,12,0.0,3800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802139,建材超市,安陆,城区,安陆城区,2011,多层,学府路,113.6960808,31.24780841,,,,0,公寓住宅,民用,7.2,12,0.0,3100.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802138,纺织公司宿舍楼,安陆,城区,安陆城区,,多层,汉丹路230号,113.6864243,31.25945898,,,,0,公寓住宅,民用,7.2,12,0.0,3700.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802137,楚雄小区,安陆,城区,安陆城区,,小高层,金秋大道132号,113.703788,31.26321402,,,,0,公寓住宅,民用,7.1,12,0.0,3809.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802136,卓湾新城,安陆,城区,安陆城区,,多层,碧涢东路,113.6939979,31.26019126,,,,0,公寓住宅,民用,7.3,12,0.0,4600.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802135,水利和湖泊局住宅楼,安陆,城区,安陆城区,,多层,汉丹路130号,113.6827131,31.25418571,,,,0,公寓住宅,民用,7.1,12,0.0,3600.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802134,德安北路189号小区,安陆,城区,安陆城区,,低层,德安北路189号,113.6850127,31.27491313,,,,0,公寓住宅,民用,7.0,12,0.0,4150.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802133,太白大道邮政宿舍楼,安陆,城区,安陆城区,,小高层,太白大道64号,113.6970396,31.26504865,,,,0,公寓住宅,民用,7.2,12,0.0,3557.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802131,东大商业街109号小区,安陆,城区,安陆城区,,低层,东大商业街109号,113.7035551,31.26256043,,,,0,公寓住宅,民用,7.1,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802130,新兰集市,安陆,城区,安陆城区,,小高层|高层,汉丹路250号,113.6872291,31.25992286,,,,0,公寓住宅,民用,7.2,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802129,城东新村,安陆,城区,安陆城区,,多层,金秋大道,113.7048068,31.26135463,,,,0,公寓住宅,民用,7.1,12,0.0,3100.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802140,塑料厂宿舍,安陆,城区,安陆城区,,多层,汉丹路136号,113.6849276,31.25595377,,,,0,公寓住宅,民用,7.2,12,0.0,2650.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802152,福临小区,安陆,城区,安陆城区,,小高层,S243,113.7294872,31.26945597,,,,0,公寓住宅,民用,6.3,12,0.0,4900.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802101,滨河花园(安陆),安陆,城区,安陆城区,,多层,府河北街,113.6792396,31.27116366,,,,0,公寓住宅,民用,7.0,12,0.0,3456.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802099,楚跃新区,安陆,城区,安陆城区,,多层,楚风路,113.7078528,31.25438527,,,,0,公寓住宅,民用,6.9,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802072,护国靓园小区,安陆,城区,安陆城区,,多层,解放大道42号,113.6817879,31.27328249,,,,0,公寓住宅,民用,6.9,12,0.0,4296.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802071,阳光世纪城,安陆,城区,安陆城区,,多层,碧涢路175号,113.6854892,31.25787696,,,,0,公寓住宅,民用,7.6,12,-3.39,4624.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802070,安陆东苑小区,安陆,城区,安陆城区,,小高层,张家巷113号,113.6949094,31.25403151,,,,0,公寓住宅,民用,7.5,12,0.0,3958.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802069,古楼佳园,安陆,城区,安陆城区,,多层,汉丹北路235号,113.6886666,31.26307003,,,,0,公寓住宅,民用,7.3,12,0.0,4000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802068,公园世家,安陆,城区,安陆城区,,高层,汉丹路255号,113.6917779,31.26713736,,,,0,公寓住宅,民用,7.2,12,0.0,5887.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802067,恒升名仕华府,安陆,城区,安陆城区,,高层,解放大道,113.6962155,31.2752882,,,,0,公寓住宅,民用,7.0,12,0.0,4488.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802066,林语花都(西区),安陆,城区,安陆城区,,多层,金秋大道142号,113.7036643,31.27173699,,,,0,公寓住宅,民用,7.4,12,0.0,3998.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802065,林语花都(东区),安陆,城区,安陆城区,,高层,太白大道,113.7067434,31.27154875,,,,0,公寓住宅,民用,6.9,12,3.95,5007.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802064,凤凰新城,安陆,城区,安陆城区,,高层,汉丹路,113.6809031,31.24855372,,,,0,公寓住宅,民用,7.0,12,-1.77,4898.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802063,府城明珠,安陆,城区,安陆城区,,小高层,汉丹路,113.6921795,31.26642759,,,,0,公寓住宅,民用,7.2,12,-0.22,4523.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802073,富丽花园(安陆),安陆,城区,安陆城区,,小高层,富康街,113.7027661,31.25812363,,,,0,公寓住宅,民用,7.1,12,0.0,3981.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802062,安陆凤凰城,安陆,城区,安陆城区,2015,小高层,汉丹东路29号,113.6841336,31.25088634,,30.0,,0,公寓住宅,民用,7.5,12,0.0,4166.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802060,丰达国际,安陆,城区,安陆城区,,高层,太白大道139号,113.6981789,31.27428268,,,,0,公寓住宅,民用,7.2,12,-0.84,5129.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802059,水岸星城,安陆,城区,安陆城区,,高层,金秋大道,113.7065027,31.2688561,,35.0,,0,公寓住宅,民用,7.5,12,-0.2,5338.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802058,德安中央花园,安陆,城区,安陆城区,,多层,儒学路47号,113.6875957,31.26627149,,,,0,公寓住宅,民用,7.5,12,0.44,5421.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802057,南山名居,安陆,城区,安陆城区,,多层,汉丹路138号,113.6804543,31.25265342,,,,0,公寓住宅,民用,7.1,12,0.0,3731.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802056,香格里拉城市花园,安陆,城区,安陆城区,,小高层,金秋大道75号,113.7082234,31.26309008,,,,0,公寓住宅,民用,7.2,12,-0.18,5386.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802055,峰海天成,安陆,城区,安陆城区,,高层,金秋大道140号,113.7041006,31.26781118,,36.0,,0,公寓住宅,民用,7.8,12,0.3,5731.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802053,金榜名城,安陆,城区,安陆城区,,多层,汉丹路382号,113.694308,31.26964131,,,,0,公寓住宅,民用,7.0,12,-1.98,4981.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802052,府东名城,安陆,城区,安陆城区,2017,高层,碧涢路34号,113.7020437,31.25257604,,35.0,,0,公寓住宅,民用,7.8,12,-0.23,5373.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802051,东大时代广场,安陆,城区,安陆城区,,多层,太白大道56号,113.6988307,31.2623399,,,,0,公寓住宅,民用,7.6,12,0.1,6397.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802061,泰和乐园,安陆,城区,安陆城区,,多层,太白大道169号,113.6966088,31.28817337,,40.0,,0,公寓住宅,民用,7.2,12,0.0,4137.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802100,楚跃小区,安陆,城区,安陆城区,,多层,碧涢东路,113.7033878,31.25327953,,,,0,公寓住宅,民用,7.3,12,0.0,2666.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802074,阳光新城(安陆),安陆,城区,安陆城区,,多层,文昌路,113.6858815,31.2527492,,,,0,公寓住宅,民用,7.2,12,0.0,3985.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802076,凤凰城市广场,安陆,城区,安陆城区,,多层,太白大道75号,113.6946299,31.24914738,,,,0,公寓住宅,民用,7.5,12,-1.38,5513.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802097,安陆学府家园,安陆,城区,安陆城区,,多层,碧涢东路,113.7019888,31.25002703,,,,0,公寓住宅,民用,7.1,12,-0.35,3375.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802096,德安花园,安陆,城区,安陆城区,,高层,德安北路149号,113.6840958,31.27170948,,,,0,公寓住宅,民用,7.5,12,0.0,4629.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802095,南大社区,安陆,城区,安陆城区,,多层,德安南路78号,113.6814648,31.25781114,,,,0,公寓住宅,民用,7.2,12,0.0,3636.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802094,园林佳苑,安陆,城区,安陆城区,,多层,解放大道129号,113.6795631,31.27258685,,,,0,公寓住宅,民用,7.3,12,0.0,3734.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802093,市政小区,安陆,城区,安陆城区,,多层,双龙桥玉皇巷26号,113.6837478,31.26880243,,,,0,公寓住宅,民用,7.2,12,0.0,3679.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802092,佳禾花园,安陆,城区,安陆城区,2004,多层,碧涢路295号,113.6758496,31.26182011,,,,0,公寓住宅,民用,7.1,12,-0.72,3676.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802091,富丽小区,安陆,城区,安陆城区,,多层,太白大道69号,113.6980238,31.2601597,,,,0,公寓住宅,民用,7.3,12,0.0,3600.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802089,汉丹路216号小区,安陆,城区,安陆城区,,多层,汉丹路216号,113.6857923,31.25811271,,,,0,公寓住宅,民用,7.5,12,0.0,3981.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802075,璟苑华府,安陆,城区,安陆城区,,多层,凤凰路210号,113.6868503,31.25415307,,,,0,公寓住宅,民用,7.2,12,0.49,3834.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802088,中冶华府,安陆,城区,安陆城区,,多层,金秋大道79号,113.7056699,31.2750139,,,,0,公寓住宅,民用,7.1,12,-2.89,3814.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802086,玉石小区,安陆,城区,安陆城区,,多层,紫金路57号,113.6791852,31.26135185,,,,0,公寓住宅,民用,7.2,12,0.0,2916.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802085,太白小区,安陆,城区,安陆城区,,多层,德安中路14号,113.6808918,31.25927149,,,,0,公寓住宅,民用,7.2,12,0.0,3750.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802084,水岸华府,安陆,城区,安陆城区,,高层,碧霞路,113.7046992,31.26463467,,,,0,公寓住宅,民用,6.9,12,-7.59,5831.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802083,双龙桥家园,安陆,城区,安陆城区,,小高层,解放大道28号,113.6884702,31.27103609,,,,0,公寓住宅,民用,7.1,12,0.0,3913.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802082,林语花都(北区),安陆,城区,安陆城区,,高层,太白大道,113.6961137,31.28059239,,,,0,公寓住宅,民用,7.2,12,-1.44,4933.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802081,汉丹家园,安陆,城区,安陆城区,,多层,汉丹路215号,113.6878461,31.26094735,,,,0,公寓住宅,民用,7.5,12,0.0,3818.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802080,安陆棉纺,安陆,城区,安陆城区,,多层,儒学路47号,113.6852779,31.26219696,,,,0,公寓住宅,民用,7.3,12,-0.36,4108.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802079,金秋御园,安陆,城区,安陆城区,,多层,金秋大道136号,113.7054893,31.26613338,,,,0,公寓住宅,民用,7.0,12,-0.21,4333.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802078,宏大清园丽舍,安陆,城区,安陆城区,,多层|高层,汉丹路,113.6874875,31.23844521,,,,0,公寓住宅,民用,6.6,12,0.0,3970.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802077,涢东学府,安陆,城区,安陆城区,,高层,发展二路,113.7152609,31.26357049,,,,0,公寓住宅,民用,6.7,12,3.69,5016.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802087,粮机小区,安陆,城区,安陆城区,,多层,德安北路102号,113.6817991,31.26417714,,,,0,公寓住宅,民用,7.3,12,0.0,3768.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802050,东方家园,安陆,城区,安陆城区,,多层,紫金路,113.6799316,31.26597484,,31.0,,0,公寓住宅,民用,7.9,12,1.01,5776.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
802153,潮阳小区东区,安陆,城区,安陆城区,,小高层,243省道,113.7360904,31.26880091,,,,0,公寓住宅,民用,6.2,12,0.0,3650.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787554,紫台壹号公馆,孝感,安陆,城区,,高层,凤凰金街106号,113.6949429,31.24941137,2.0,,,0,公寓住宅,民用,7.1,12,0.0,5618.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787555,安陆市水产局宿舍楼,孝感,安陆,城区,,多层,德安南路129号,113.6814211,31.25788572,,,,0,公寓住宅,民用,7.6,12,0.0,3253.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787558,安陆市新河安置区,孝感,安陆,城区,,多层,"发展二路,近碧霞路",113.7146267,31.26151145,,,,0,公寓住宅,民用,6.9,12,0.0,2800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787559,阳光家园,孝感,安陆,城区,,多层,文昌路96号,113.6874138,31.25336583,,,,0,公寓住宅,民用,7.0,12,0.0,4031.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787560,安检小区,孝感,安陆,城区,,多层,解放大道117号,113.6809027,31.27278935,,,,0,公寓住宅,民用,7.0,12,0.0,2900.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787562,安陆政府大院小区,孝感,安陆,城区,,多层,碧涢路210号,113.6835456,31.2576667,,,,0,公寓住宅,民用,7.3,12,0.0,3800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787563,凤凰东区自建房,孝感,安陆,城区,,低层,汉丹东路,113.682619,31.25220732,,,,0,,暂无,7.3,12,0.0,2200.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787564,福临小区,孝感,安陆,城区,,小高层,S243,113.7294872,31.26945597,,,,0,公寓住宅,民用,6.3,12,0.0,4900.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787566,文昌路35-1号小区,孝感,安陆,城区,,多层,文昌路35-1号,113.6882165,31.25586162,,,,0,公寓住宅,民用,7.5,12,0.0,3944.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787568,八阁楼小区,孝感,安陆,城区,,多层,文昌路90号,113.6873171,31.25329842,,,,0,公寓住宅,民用,7.2,12,0.0,3870.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787569,府东花园,孝感,安陆,城区,,小高层,府东北路,113.6935943,31.25546758,,,,0,公寓住宅,民用,7.3,12,0.0,3304.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787570,泰丰花园,孝感,安陆,城区,,小高层,儒学路19号,113.6831675,31.26245698,,,,0,公寓住宅,民用,7.2,12,0.0,3333.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787571,金港花园,孝感,安陆,城区,,多层,太白大道52号,113.6972274,31.26241923,,,,0,公寓住宅,民用,7.2,12,0.0,3778.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787572,安陆白云小区,孝感,安陆,城区,,多层,文昌路22号,113.6888965,31.25921137,,,,0,公寓住宅,民用,7.3,12,0.0,3636.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787573,交通小区,孝感,安陆,城区,,多层,凤凰路37号,113.6858047,31.25512331,,,,0,公寓住宅,民用,7.2,12,0.0,3237.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787574,建总小区,孝感,安陆,城区,,小高层,碧涢路32号,113.7011777,31.25213731,,,,0,公寓住宅,民用,7.1,12,0.0,3644.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787565,潮阳小区东区,孝感,安陆,城区,,小高层,243省道,113.7360904,31.26880091,,,,0,公寓住宅,民用,6.2,12,0.0,3650.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787576,四里社区,孝感,安陆,城区,,多层,太白大道,113.6856903,31.23132503,,,,0,公寓住宅,民用,6.4,12,0.0,2650.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787552,塑料厂宿舍,孝感,安陆,城区,,多层,汉丹路136号,113.6849276,31.25595377,,,,0,公寓住宅,民用,7.2,12,0.0,2650.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787528,文昌路24号小区,孝感,安陆,城区,,多层,文昌路24号,113.6884378,31.25812003,,,,0,公寓住宅,民用,7.5,12,0.0,3280.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787529,肖台社区,孝感,安陆,城区,,多层,解放大道1号,113.6944696,31.27452815,,,,0,公寓住宅,民用,7.0,12,0.0,2916.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787530,碧涢路244号小区,孝感,安陆,城区,,多层,碧涢路244号,113.6783004,31.2588223,,,,0,公寓住宅,民用,7.6,12,0.0,2741.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787531,环城小区,孝感,安陆,城区,,多层,凤凰路53号,113.678016,31.25670241,,,,0,公寓住宅,民用,7.2,12,0.0,3259.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787532,潮尚阳光花园,孝感,安陆,城区,,多层,金秋大道81号,113.7058345,31.2770036,,,,0,公寓住宅,民用,7.1,12,0.0,4358.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787533,德邻花园,孝感,安陆,城区,,小高层,汉丹路369号,113.6967329,31.27359156,,,,0,公寓住宅,民用,7.5,12,0.0,4780.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787534,天桥康居,孝感,安陆,城区,,多层,碧山路36号,113.693266,31.26031012,,,,0,公寓住宅,民用,7.3,12,0.0,4476.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787535,东方状元成,孝感,安陆,城区,,小高层,碧霞路,113.708939,31.26516413,,,,0,公寓住宅,民用,6.3,12,0.0,5000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787536,府东佳苑,孝感,安陆,城区,,小高层,府东南路,113.6930604,31.25466222,,,,0,公寓住宅,民用,7.3,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787537,红石村二组小区,孝感,安陆,城区,,多层,碧涢东路,113.7078555,31.25281051,,,,0,公寓住宅,民用,6.9,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787551,建材超市,孝感,安陆,城区,2011,多层,学府路,113.6960808,31.24780841,,,,0,公寓住宅,民用,7.2,12,0.0,3100.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787538,教师之家宿舍楼,孝感,安陆,城区,,小高层,龙门路,113.6842964,31.25965187,,,,0,公寓住宅,民用,7.3,12,0.0,3800.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787540,城东新村,孝感,安陆,城区,,多层,金秋大道,113.7048068,31.26135463,,,,0,公寓住宅,民用,7.1,12,0.0,3100.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787541,新兰集市,孝感,安陆,城区,,小高层|高层,汉丹路250号,113.6872291,31.25992286,,,,0,公寓住宅,民用,7.2,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
787542,东大商业街109号小区,孝感,安陆,城区,,低层,东大商业街109号,113.7035551,31.26256043,,,,0,公寓住宅,民用,7.1,12,0.0,3000.0,Hubei,Xiaogan,Anlu,Hubei-Xiaogan
