id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
91619,张家花园街50号小区,重庆,渝中,大溪沟,2008,多层|小高层,张家花园街50号,106.5550961,29.56064001,,30.0,,94,公寓住宅,民用,8.6,12,0.0,8484.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91620,华福巷53号4单元小区,重庆,渝中,大溪沟,1992,小高层,华福巷53号,106.5525944,29.5620518,,20.0,,45,公寓住宅,民用,8.3,12,0.0,11934.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91621,巴蜀路2-3号小区,重庆,渝中,大溪沟,2018,小高层,巴蜀路2-3号,106.5585956,29.56535917,,30.0,,109,公寓住宅,民用,8.8,12,0.0,17032.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91622,张家花园街8号小区,重庆,渝中,大溪沟,2014,小高层,张家花园街8号,106.555846,29.55979689,,30.0,,70,公寓住宅,民用,8.4,12,0.0,8289.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91623,"枇杷山正街109号,113号小区",重庆,渝中,大溪沟,2005,多层,"枇杷山正街109号,113号",106.5539046,29.55502149,,30.0,,465,公寓住宅,民用,8.7,12,0.0,7812.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91285,嘉多利,重庆,渝中,两路口,2006,小高层|高层,枇杷山正街209-211号,106.5503725,29.55554282,2.0,30.0,,195,公寓住宅,民用,8.8,12,0.0,9660.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91624,五一路244号小区,重庆,渝中,大溪沟,2000,小高层,五一路244号,106.5747701,29.55880865,,30.0,,0,公寓住宅,民用,8.2,12,0.0,12549.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91625,枣子岚垭正街59-63号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街59-63号,106.5522498,29.56272921,,,,266,公寓住宅,民用,8.1,12,0.62,7363.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91626,人和街42号小区,重庆,渝中,大溪沟,2007,多层,人和街42号,106.5536809,29.56602091,,30.0,,44,公寓住宅,民用,8.6,12,0.0,27777.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91627,人和街62-68号小区,重庆,渝中,大溪沟,2011,多层|小高层,人和街62-68号(双号),106.5539572,29.56548287,,30.0,,528,公寓住宅,民用,8.7,12,0.61,20329.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91628,张家花园街64-68号小区(双号),重庆,渝中,大溪沟,2006,小高层|高层,张家花园街64-68号(双号),106.5547537,29.56120572,,30.0,,140,公寓住宅,民用,8.8,12,0.0,11086.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91629,枣子岚垭正街141-145号小区,重庆,渝中,大溪沟,2013,小高层,枣子岚垭正街141-145号,106.550183,29.56294851,,30.0,,106,公寓住宅,民用,8.5,12,0.0,9977.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91618,张家花园街134-135号小区,重庆,渝中,大溪沟,2008,小高层,张家花园街134-135号,106.5552312,29.5627996,,30.0,,68,公寓住宅,民用,8.6,12,0.0,10000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91617,张家花园街4号小区,重庆,渝中,大溪沟,2012,高层,张家花园街4号,106.5553792,29.55957247,,30.0,,151,公寓住宅,民用,8.6,12,0.0,8000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91616,张家花园街186号小区,重庆,渝中,大溪沟,2011,小高层,张家花园街186号,106.5554934,29.5643825,,30.0,,60,公寓住宅,民用,8.4,12,0.0,9957.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91615,人和街28号小区,重庆,渝中,大溪沟,2016,小高层,人和街28号,106.5552809,29.56586405,,30.0,,18,公寓住宅,民用,8.6,12,0.0,28000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91601,张家花园街158-161号小区,重庆,渝中,大溪沟,2003,小高层,张家花园街158-161号,106.5551464,29.56362838,,30.0,,152,公寓住宅,民用,8.4,12,0.0,8311.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91602,张家花园街195-196号小区,重庆,渝中,大溪沟,2003,小高层,张家花园街195-196号,106.5554215,29.56484135,,30.0,,28,公寓住宅,民用,8.5,12,0.24,25454.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91603,学田湾正街7-12号小区,重庆,渝中,大溪沟,2011,小高层|高层,学田湾正街7-12号,106.5483618,29.56280603,,30.0,,392,公寓住宅,民用,8.5,12,0.0,11553.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91604,捍卫路13-70号小区,重庆,渝中,大溪沟,2015,多层,捍卫路13-70号,106.5585053,29.56070683,,30.0,,540,公寓住宅,民用,8.5,12,0.0,9442.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91605,人和街48号小区,重庆,渝中,大溪沟,1998,小高层,人和街48号,106.5537319,29.56573993,,20.0,,168,公寓住宅,民用,8.4,12,-1.44,21648.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91606,通泰大厦,重庆,渝中,大溪沟,2000,高层,人和街38号,106.5547237,29.56551283,2.0,25.0,,78,公寓住宅,民用,8.7,12,0.0,17621.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91630,枣子岚垭二巷1号小区,重庆,渝中,大溪沟,2018,小高层|高层,枣子岚垭二巷1号,106.5528393,29.56042584,,30.0,,165,公寓住宅,民用,8.6,12,0.0,9273.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91607,张家花园街192号小区,重庆,渝中,大溪沟,1990,小高层,张家花园街192号,106.5548767,29.56500497,2.0,20.0,,223,公寓住宅,民用,8.4,12,0.0,27777.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91609,渝建村79号-104号小区,重庆,渝中,大溪沟,1998,多层,渝建村79号-104号,106.5499316,29.56719763,2.0,18.0,,273,公寓住宅,民用,8.6,12,0.0,10526.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91610,新宇大厦,重庆,渝中,大溪沟,2004,超高层,渝建村11-12号,106.5509626,29.56639483,2.0,30.0,31000.0,310,公寓住宅,民用,8.8,12,0.0,11600.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91611,华福巷48-51号小区,重庆,渝中,大溪沟,2000,多层,华福巷48-51号,106.5537632,29.56265503,2.0,25.0,,360,公寓住宅,民用,9.0,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91612,恒幸花园,重庆,渝中,大溪沟,2006,多层|小高层,华福巷55号,106.5531354,29.56139527,2.0,36.56,1302.0,153,公寓住宅,民用,8.9,12,0.0,9895.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91613,枣子岚垭菜市巷小区,重庆,渝中,大溪沟,2007,小高层,枣子岚垭菜市巷1-7号,106.5508723,29.56101077,,30.0,,345,公寓住宅,民用,8.5,12,0.0,8088.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91614,张家花园街146号小区,重庆,渝中,大溪沟,2002,小高层,张家花园街146号,106.5547956,29.56310131,,30.0,,78,公寓住宅,民用,8.5,12,0.0,9867.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91608,华福巷31-45号小区,重庆,渝中,大溪沟,1992,多层,华福巷31-45号,106.5540139,29.56289335,2.0,20.0,,671,公寓住宅,民用,8.6,12,0.0,9567.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91631,渝建村127号小区,重庆,渝中,大溪沟,2016,小高层,渝建村127号,106.5510522,29.56739705,,30.0,,84,公寓住宅,民用,8.1,12,0.0,9852.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91632,人和街小学教师宿舍楼,重庆,渝中,大溪沟,2000,小高层,人和街43号,106.5534583,29.56405041,2.0,18.0,,72,公寓住宅,民用,8.9,12,0.0,22593.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91633,中共重庆市委机关家属区,重庆,渝中,大溪沟,1998,小高层,中山四路34号,106.5460112,29.56398816,,20.0,,62,公寓住宅,民用,8.3,12,0.0,13241.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91652,人民支路53号小区,重庆,渝中,大溪沟,,多层,人民支路53号,106.55211,29.56737862,,,,16,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91653,人民支路48-54号小区,重庆,渝中,大溪沟,,小高层,人民支路48-54号(双号),106.5516816,29.56691657,2.0,,,74,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91654,渝建村1-2号小区,重庆,渝中,大溪沟,,多层,渝建村1-2号,106.5515488,29.56623598,2.0,,,0,公寓住宅,民用,8.0,12,0.0,8800.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91655,人民支路5-7号小区,重庆,渝中,大溪沟,,多层,人民支路5-7号,106.5517487,29.56671845,2.0,,,0,公寓住宅,民用,8.0,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91656,渝建村122号小区,重庆,渝中,大溪沟,,多层,渝建村122号,106.5504986,29.56747367,,,,27,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91657,张家花园街25号小区,重庆,渝中,大溪沟,,小高层,张家花园街25号,106.5553575,29.56074716,2.0,,,36,公寓住宅,民用,7.9,12,0.0,8800.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91651,人民支路39-43号院,重庆,渝中,大溪沟,,多层,人民支路39-43号(单号),106.5483691,29.56695625,2.0,,,0,公寓住宅,民用,8.0,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91658,捍卫路32号楼,重庆,渝中,大溪沟,,高层,捍卫路32号,106.5578446,29.56036384,2.0,,,0,商住楼,商用,7.9,12,0.0,10500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91660,枣子岚垭正街135-137号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街135-137号(单号),106.5495846,29.56178894,2.0,,,52,公寓住宅,民用,7.9,12,0.0,8200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91661,渝建村45号小区,重庆,渝中,大溪沟,,高层,渝建村45号,106.5511818,29.56619989,2.0,,,0,公寓住宅,民用,7.9,12,0.0,8500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91662,"人民路30,32号小区",重庆,渝中,大溪沟,,小高层,"人民路30,32号",106.5527609,29.56776252,2.0,,,36,公寓住宅,民用,8.0,12,0.0,8300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91663,大溪沟街41-55号小区,重庆,渝中,大溪沟,,小高层,大溪沟街41-55号(单号),106.5571113,29.56715759,2.0,,,204,公寓住宅,民用,7.9,12,0.0,8600.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91664,人民巷46-48号小区,重庆,渝中,大溪沟,,小高层,人民巷46-48号,106.5466757,29.56343808,,,,51,公寓住宅,民用,7.9,12,0.0,8200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91665,枣子岚垭正街88号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街88号,106.5513892,29.56197918,,,,99,公寓住宅,民用,7.9,12,0.0,8014.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91659,渝建村66号小区,重庆,渝中,大溪沟,,小高层,渝建村66号,106.5506266,29.56685736,,,,24,公寓住宅,民用,8.0,12,0.0,8500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91600,张家花园街205号小区,重庆,渝中,大溪沟,2018,小高层,张家花园街205号,106.5557628,29.56437078,,30.0,,117,公寓住宅,民用,8.7,12,0.0,23076.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91650,渝建村124号小区,重庆,渝中,大溪沟,,多层,渝建村124号,106.5504414,29.56751484,,,,41,公寓住宅,民用,7.9,12,0.0,8500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91648,"人民支路23,25号小区",重庆,渝中,大溪沟,,多层,"人民支路23,25号",106.5539199,29.56673267,2.0,,,0,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91634,临华路19-22号小区,重庆,渝中,大溪沟,,高层,临华路19-22号,106.5568397,29.56080626,,,,414,公寓住宅,民用,8.1,12,0.0,8300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91635,吉星阁,重庆,渝中,大溪沟,1992,高层,北区路61号,106.5572937,29.56586523,,20.0,,128,公寓住宅,民用,8.0,12,0.0,8000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91636,人民路250号小区,重庆,渝中,大溪沟,,小高层,人民路250号,106.5462198,29.56345192,2.0,,,0,公寓住宅,民用,8.2,12,0.0,10044.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91637,枣子岚垭正街46号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街46号,106.5530828,29.56016262,,,,90,公寓住宅,民用,8.2,12,0.0,9500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91638,枣子岚垭正街52-55号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街52-55号,106.5515654,29.56140689,,,,291,公寓住宅,民用,8.2,12,0.0,9500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91639,"枣子岚垭正街41,42号小区",重庆,渝中,大溪沟,,小高层,"枣子岚垭正街41,42号",106.5513407,29.56100852,,,,258,公寓住宅,民用,8.2,12,0.0,8000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91649,人民支路57号小区,重庆,渝中,大溪沟,,多层,人民支路57号,106.5518391,29.56696222,,,,0,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91640,临华路23-30号小区,重庆,渝中,大溪沟,,高层,临华路23-30号,106.5565791,29.56011392,,,,917,公寓住宅,民用,8.2,12,0.0,8300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91642,枣子岚垭正街56号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街56号,106.5513042,29.56259326,,,,220,公寓住宅,民用,8.3,12,0.0,8100.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91643,张家花园街195-197号小区,重庆,渝中,大溪沟,2009,小高层,张家花园街195-197号,106.5552354,29.56523813,,30.0,,82,公寓住宅,民用,8.4,12,0.58,22504.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91644,张家花园街181-182号小区,重庆,渝中,大溪沟,2004,小高层,张家花园街181-182号,106.5561579,29.5633085,,30.0,,94,公寓住宅,民用,8.5,12,0.0,8924.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91645,大溪沟街27号小区,重庆,渝中,大溪沟,,多层,大溪沟街27号,106.5568408,29.56688105,,,,15,公寓住宅,民用,7.9,12,0.0,8300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91646,人民支路45号小区,重庆,渝中,大溪沟,,多层,人民支路45号,106.5492301,29.5669044,,,,0,公寓住宅,民用,7.9,12,0.0,8800.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91647,"建设路3,5号小区",重庆,渝中,大溪沟,,多层,"建设路3,5号",106.5529643,29.5675523,,,,40,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91641,枣子岚垭正街20号小区,重庆,渝中,大溪沟,,小高层,枣子岚垭正街20号,106.5519722,29.56045224,,,,135,公寓住宅,民用,8.0,12,0.0,8300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91599,"人和街4号,6号小区",重庆,渝中,大溪沟,2015,小高层,"人和街4号,6号",106.5551007,29.56613089,,30.0,,40,公寓住宅,民用,8.6,12,0.0,18235.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91598,人和街12-26号小区(双号),重庆,渝中,大溪沟,2000,多层,人和街12-26号(双号),106.5556907,29.56617837,,30.0,,98,公寓住宅,民用,8.3,12,-0.29,23995.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91597,万科翡翠都会,重庆,渝中,大溪沟,Dec-20,高层,北区路162号,106.5596173,29.56554214,,35.0,174365.0,736,公寓住宅,民用,9.0,12,-0.54,31259.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91560,"学田湾正街48,58,60号小区",重庆,渝中,上清寺,2011,小高层|高层,"学田湾正街48,58,60号",106.5474643,29.56244873,,30.0,,204,公寓住宅,民用,8.3,12,0.0,9700.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91559,松竹苑(渝中),重庆,渝中,上清寺,2006,小高层|高层,下罗家湾二巷1-5号,106.5488346,29.56045237,,30.0,,111,公寓住宅,民用,8.2,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91558,学田湾正街124-130号小区,重庆,渝中,上清寺,2011,多层|小高层,学田湾正街124-130号(双号),106.5463368,29.56234141,,30.0,,61,公寓住宅,民用,8.3,12,0.0,10200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91556,学田湾正街16号小区,重庆,渝中,上清寺,2011,小高层,学田湾正街16号,106.5480503,29.56193576,,30.0,,108,公寓住宅,民用,8.3,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91555,下罗家湾60号小区,重庆,渝中,上清寺,2015,小高层,下罗家湾60号,106.5486047,29.56020548,,30.0,,38,公寓住宅,民用,8.3,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91554,"下罗家湾48号,50号小区",重庆,渝中,上清寺,2014,小高层,"下罗家湾48号,50号",106.548357,29.5608385,,30.0,,127,公寓住宅,民用,8.3,12,0.0,9300.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91553,中山支路21号小区,重庆,渝中,上清寺,2008,小高层,中山支路21号,106.5470722,29.55765413,2.0,30.0,,40,公寓住宅,民用,8.2,12,0.0,8500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91552,枣子岚垭村4-8号小区,重庆,渝中,上清寺,,小高层,枣子岚垭村4-8号(双号),106.5494977,29.56256411,,,,176,公寓住宅,民用,7.9,12,0.0,8500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91551,春森路20号小区,重庆,渝中,上清寺,,小高层,春森路20号,106.5461311,29.56034218,2.0,,,32,公寓住宅,民用,7.9,12,0.0,9200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91550,上清寺路74号小区,重庆,渝中,上清寺,,小高层,上清寺路74号,106.5414283,29.56154264,2.0,,,0,公寓住宅,民用,7.8,12,0.0,7600.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91549,枣子岚垭正街151号小区,重庆,渝中,上清寺,,小高层,枣子岚垭正街151号,106.549516,29.56308993,,,,70,公寓住宅,民用,7.9,12,0.0,9500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91548,人民巷46-48号小区,重庆,渝中,上清寺,,小高层,人民巷46-48号,106.5466757,29.56343808,,,,51,公寓住宅,民用,7.9,12,0.0,8200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91547,"上清寺路96号,104号小区",重庆,渝中,上清寺,,小高层,"上清寺路96号,104号",106.5407697,29.56134107,2.0,,,56,公寓住宅,民用,8.2,12,0.0,7900.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91546,桂花园路1号小区,重庆,渝中,上清寺,,小高层,桂花园路1号,106.5393428,29.55829148,2.0,,,0,公寓住宅,民用,7.9,12,0.0,8800.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91545,交通巷2号附5号小区,重庆,渝中,上清寺,,多层,交通巷2号附5号,106.5408175,29.55998092,,,,0,商业,商用,,12,,,Chongqing,,Yuzhong,Chongqing-Yuzhong
91544,人民支路39-43号院,重庆,渝中,上清寺,,多层,人民支路39-43号(单号),106.5483691,29.56695625,2.0,,,0,公寓住宅,民用,8.0,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91530,中山四路69号附30-35号小区,重庆,渝中,上清寺,2004,小高层,中山四路69号附30-35号,106.5414316,29.56612873,,30.0,,250,公寓住宅,民用,8.6,12,-2.82,11641.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91531,上清寺路73号小区,重庆,渝中,上清寺,,小高层,上清寺路73号,106.5384875,29.56029225,2.0,,,0,公寓住宅,民用,8.0,12,0.0,7200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91533,人民路250号小区,重庆,渝中,上清寺,,小高层,人民路250号,106.5462198,29.56345192,2.0,,,0,公寓住宅,民用,8.2,12,0.0,10044.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91534,中山三路177号小区,重庆,渝中,上清寺,2013,小高层,中山三路号177号,106.5440376,29.56227376,2.0,30.0,,216,公寓住宅,民用,8.4,12,0.0,16000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91535,中山三路153号小区,重庆,渝中,上清寺,2004,小高层,中山三路号153号,106.5451145,29.55961228,2.0,30.0,,60,公寓住宅,民用,8.2,12,0.0,16000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91561,学田湾正街93号小区,重庆,渝中,上清寺,2011,小高层,学田湾正街93号,106.5455745,29.56211547,,30.0,,130,公寓住宅,民用,8.3,12,0.0,9500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91536,"桂花园82-85号,87号小区",重庆,渝中,上清寺,1992,高层,"桂花园82-85号,87号",106.5384618,29.55834504,,20.0,,303,公寓住宅,民用,8.1,12,0.0,9100.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91538,桂花园路38号小区,重庆,渝中,上清寺,1994,小高层,桂花园路38号,106.5381819,29.55744541,,20.0,,56,公寓住宅,民用,8.2,12,0.0,9100.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91539,两路口新村6-7号小区,重庆,渝中,上清寺,2001,高层,两路口新村6-7号,106.5450415,29.55636572,,30.0,,146,公寓住宅,民用,8.4,12,0.0,8700.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91540,重庆村10号小区,重庆,渝中,上清寺,,多层,重庆村10号,106.5456252,29.55737532,,,,32,公寓住宅,民用,7.9,12,0.0,9000.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91541,上开智村,重庆,渝中,上清寺,,多层,上开智村1-4号,106.5406753,29.56158095,,,,190,公寓住宅,民用,7.8,12,0.0,8200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91542,"上清寺路54,60,68,70号小区",重庆,渝中,上清寺,,多层,"上清寺路54,60,68,70号",106.5420265,29.56177201,2.0,,,0,公寓住宅,民用,7.9,12,0.0,7200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91543,上清寺路72号小区,重庆,渝中,上清寺,,多层,上清寺路72号,106.5416444,29.56158259,,,,36,公寓住宅,民用,7.8,12,0.0,7200.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91537,桂花园2-5号小区,重庆,渝中,上清寺,2008,小高层,桂花园2-5号,106.5382519,29.55957905,,30.0,,164,公寓住宅,民用,8.5,12,0.0,9100.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91562,中山四路11号附1-10号小区,重庆,渝中,上清寺,2010,小高层,中山四路11号附1-10号,106.5419048,29.56559839,,30.0,,320,公寓住宅,民用,8.1,12,0.0,18166.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91563,春森路64号院,重庆,渝中,上清寺,1994,小高层,春森路64号,106.5466073,29.56080607,,20.0,,27,公寓住宅,民用,8.0,12,0.0,8100.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91564,春森路57号院,重庆,渝中,上清寺,1993,小高层,春森路57号,106.5467839,29.56051807,,20.0,,28,公寓住宅,民用,8.1,12,0.0,9032.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91584,巴教村社区,重庆,渝中,大溪沟,1996,小高层,巴教村1-90号,106.5557035,29.56174226,2.0,30.0,13200.0,994,公寓住宅,民用,8.8,12,-0.37,18570.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91585,星都花园,重庆,渝中,大溪沟,2005,高层,"人和街13号,15号",106.5558265,29.56549565,2.0,30.0,,356,公寓住宅,民用,8.7,12,-0.09,20016.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91586,溪江悦,重庆,渝中,大溪沟,2017,超高层,嘉临江滨江路219号,106.5518058,29.5682831,2.0,25.0,,1391,公寓住宅,民用,8.8,12,0.19,17992.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91587,静园小区,重庆,渝中,大溪沟,2001,高层,人民路76号,106.5526271,29.56696683,2.0,30.0,2387.0,1084,公寓住宅,民用,8.7,12,-0.39,10262.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91588,科普大厦,重庆,渝中,大溪沟,2001,高层,华福巷30号,106.5531383,29.56344982,2.0,32.0,,231,公寓住宅,民用,8.7,12,-0.07,21123.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91582,桂花大厦,重庆,渝中,上清寺,1999,高层,桂花园路13号,106.5382313,29.55796671,2.0,26.0,,144,公寓住宅,民用,8.4,12,0.0,13377.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91589,巴蜀俊秀,重庆,渝中,大溪沟,2009,高层|超高层,北区路51号,106.5593618,29.56490618,2.0,15.0,33000.0,578,公寓住宅,民用,9.0,12,0.0,26435.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91591,巴蜀大厦,重庆,渝中,大溪沟,2011,高层,巴教村88号,106.5570996,29.56230047,2.0,30.0,,272,公寓住宅,民用,8.6,12,0.09,23256.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91592,龙家秀色,重庆,渝中,大溪沟,2000,小高层|高层,嘉滨路213号,106.5518464,29.56890493,2.0,30.0,30000.0,366,公寓住宅,民用,8.8,12,-0.37,11305.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91593,兴远大厦,重庆,渝中,大溪沟,2007,高层,人民路20号,106.5558487,29.56725438,2.0,15.0,,180,公寓住宅,民用,8.7,12,0.0,11194.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91594,人民路69-73号小区(单号),重庆,渝中,大溪沟,1998,多层,人民路69-73号(单号),106.5532182,29.56645919,,20.0,,163,公寓住宅,民用,8.5,12,0.0,9545.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91595,华福大厦,重庆,渝中,大溪沟,2000,高层,华福巷29号,106.5534589,29.5630986,2.0,30.0,,120,公寓住宅,民用,8.7,12,0.0,11157.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91596,人和花园(渝中),重庆,渝中,大溪沟,2008,高层,人和街58号,106.5533765,29.56489759,2.0,30.0,5600.0,240,公寓住宅,民用,9.0,12,0.48,22115.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91590,书香苑(渝中),重庆,渝中,大溪沟,2013,高层,华福巷53号,106.5520138,29.56186583,2.0,30.0,52600.0,1117,公寓住宅,民用,8.9,12,-0.21,17276.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91666,"枣子岚垭正街127,128号小区",重庆,渝中,大溪沟,,小高层,"枣子岚垭正街127,128号",106.5501871,29.5629285,,,,48,公寓住宅,民用,7.9,12,0.0,9500.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91581,上清寺路75-79号院,重庆,渝中,上清寺,2009,高层,上清寺路75-79号,106.5390376,29.56020326,2.0,30.0,,228,公寓住宅,民用,8.4,12,0.0,6517.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
91579,曾家岩小区,重庆,渝中,上清寺,1998,小高层,曾家岩23号,106.5489801,29.56820127,2.0,20.0,,320,公寓住宅,民用,8.3,12,0.0,9344.0,Chongqing,,Yuzhong,Chongqing-Yuzhong
